Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2926 Forest Manor Ave,3 Beds,1 Bath,864 sqft,Year Built: 1911,Garage,"$85,000",Indianapolis
8820 Yardley Ct #208,2 Beds,2 Baths,"1,070 sqft",Year Built: 1993,No Info,"$159,900",Indianapolis
2169 Kildare Ave,2 Beds,1 Bath,"1,544 sqft",Year Built: 1940,Garage,"$152,000",Indianapolis
4741 Bridgefield Dr,2 Beds,2 Baths,"1,312 sqft",Year Built: 1998,2 Car Garage,"$180,000",Indianapolis
Grandover Plan in Edgewood Farms by D.R. Horton - Indianapolis,3 Beds,3 Baths,"2,141 sqft",Year Built: 2023,No Info,"$400,000+",Indianapolis
1645 Cruft St,2 Beds,1 Bath,768 sqft,Year Built: 1955,Garage,"$119,000",Indianapolis
7777 Holliday Dr W,5 Beds,5 Baths,"5,024 sqft (on 0.85 acres)",Year Built: 1953,3 Car Garage,"$1,250,000",Indianapolis
737 Wallace Ave,3 Beds,2 Baths,"2,376 sqft",Year Built: 1930,Garage,"$224,900",Indianapolis
8355 Fieldfare Way,,,,,No Info,"$40,000",Indianapolis
863 Indigo Way  #A,3 Beds,2 Baths,"1,745 sqft",Year Built: 1979,No Info,"$160,000",Indianapolis
2804 N  Rouark Cir,3 Beds,2 Baths,"2,025 sqft",Year Built: 1973,2 Car Garage,"$164,000",Indianapolis
3535 Woodale Rd,3 Beds,2 Baths,"1,584 sqft (on 0.46 acres)",Year Built: 1965,Garage,"$245,000",Indianapolis
8815 Ellington Dr,4 Beds,3 Baths,"3,072 sqft (on 0.33 acres)",Year Built: 1969,2 Car Garage,"$295,000",Indianapolis
11805 E  62nd St,Studio,,,,No Info,"$3,000,000",Indianapolis
8025 Stafford Ct,4 Beds,3 Baths,"2,383 sqft (on 0.30 acres)",Year Built: 1969,2 Car Garage,"$349,900",Indianapolis
8504 Ironcrest Dr,4 Beds,4 Baths,"4,912 sqft (on 0.28 acres)",Year Built: 2022,3 Car Garage,"$725,000",Indianapolis
Harmony Plan in Fields at New Bethel by D.R. Horton - Indianapolis,3 Beds,2 Baths,"1,498 sqft",Year Built: 2023,No Info,"$315,000+",Indianapolis
McKinley Plan in Trotters Landing by D.R. Horton - Indianapolis,4 Beds,3 Baths,"2,430 sqft",Year Built: 2023,No Info,"$444,900+",Indianapolis
420 E  Ohio St   #C,1 Bed,1 Bath,892 sqft,Year Built: 2002,1 Car Garage,"$248,900",Indianapolis
5626 Boy Scout Rd,4 Beds,3 Baths,"3,448 sqft (on 0.62 acres)",Year Built: 1970,2 Car Garage,"$325,000",Indianapolis
41 N  Euclid Ave,6 Beds,3 Baths,,Year Built: 1920,No Info,"$199,900",Indianapolis
2861 Mozart Way,3 Beds,3 Baths,"1,520 sqft",Year Built: 2006,2 Car Garage,"$230,000",Indianapolis
6655 Kinnerton Dr,3 Beds,3 Baths,"1,646 sqft",Year Built: 1997,2 Car Garage,"$249,900",Indianapolis
R1900 Plan in The Overlook at Central State by M/I Homes,3 Beds,3 Baths,"1,912 sqft",Year Built: 2023,No Info,"$315,990+",Indianapolis
1210 N  Tremont St,2 Beds,1 Bath,"1,850 sqft",Year Built: 1961,Open Parking,"$80,000",Indianapolis
3027 Guilford Ave,3 Beds,3 Baths,"1,588 sqft",Year Built: 1920,No Info,"$239,900",Indianapolis
8053 Pavilion Ct,4 Beds,3 Baths,"1,995 sqft",Year Built: 2014,2 Car Garage,"$300,000",Indianapolis
1218 Bacon St,2 Beds,1 Bath,"1,418 sqft",Year Built: 1900,Open Parking,"$149,900",Indianapolis
5131 Gray Wood Ct,3 Beds,3 Baths,"1,908 sqft",Year Built: 2012,2 Car Garage,"$205,000",Indianapolis
6048 Powell Dr,3 Beds,2 Baths,"1,226 sqft (on 0.38 acres)",Year Built: 1973,2 Car Garage,"$229,900",Indianapolis
5560 N  Pennsylvania St,4 Beds,5 Baths,"4,664 sqft",Year Built: 1936,2 Car Garage,"$920,000",Indianapolis
3640 N  Butler Ave,4 Beds,2 Baths,"1,314 sqft",Year Built: 1967,Garage,"$195,000",Indianapolis
Campton Plan in Edgewood Farms by D.R. Horton - Indianapolis,5 Beds,3 Baths,"3,032 sqft",Year Built: 2023,No Info,"$450,000+",Indianapolis
8114 Parcrest Ct,4 Beds,3 Baths,"4,135 sqft (on 0.37 acres)",Year Built: 2008,3 Car Garage,"$440,000",Indianapolis
5125 Riverview Dr,5 Beds,3 Baths,"3,140 sqft (on 0.51 acres)",Year Built: 1950,2 Car Garage,"$415,000",Indianapolis
10426 Northern Dancer Dr,3 Beds,3 Baths,"1,960 sqft",Year Built: 2003,2 Car Garage,"$295,000",Indianapolis
263 Parkview Ave,3 Beds,3 Baths,"2,500 sqft",Year Built: 1920,No Info,"$295,000",Indianapolis
1126 N  Rochester Ave,2 Beds,1 Bath,"1,248 sqft",Year Built: 1948,No Info,"$119,900",Indianapolis
341 S  Oakland Ave,2 Beds,1 Bath,720 sqft,Year Built: 1950,Garage,"$115,000",Indianapolis
5786 N  Delaware St,4 Beds,2 Baths,"3,618 sqft",Year Built: 1928,Garage,"$525,000",Indianapolis
3932 Gray Pond Ct,2 Beds,2 Baths,"1,180 sqft",Year Built: 2003,2 Car Garage,"$214,900",Indianapolis
2246 N  Centennial St,2 Beds,1 Bath,725 sqft,Year Built: 1949,None,"$115,000",Indianapolis
3354 Hovey St,3 Beds,2 Baths,"1,542 sqft",Year Built: 1925,None,"$104,900",Indianapolis
5931 Gateway Dr,4 Beds,1 Bath,"1,075 sqft (on 2 acres)",Year Built: 1965,1 Car Garage,"$135,000",Indianapolis
8298 N  Payne Rd,4 Beds,2 Baths,"1,628 sqft (on 0.69 acres)",Year Built: 1963,2 Car Garage,"$249,999",Indianapolis
5830 Norcroft Dr,3 Beds,2 Baths,"2,592 sqft (on 0.55 acres)",Year Built: 1956,2 Car Garage,"$249,000",Indianapolis
353 N  Arsenal Ave,3 Beds,4 Baths,"2,496 sqft",Year Built: 2019,Garage,"$579,000",Indianapolis
1716 N  Arsenal Ave,3 Beds,3 Baths,"1,697 sqft",Year Built: 1955,No Info,"$449,000",Indianapolis
10125 Butternut Ln,5 Beds,4 Baths,"2,987 sqft",Year Built: 2023,2 Car Garage,"$459,000",Indianapolis
543 N  Temple Ave,3 Beds,2 Baths,"2,220 sqft",Year Built: 1955,Garage,"$279,000",Indianapolis
6172 Norwaldo Ave,2 Beds,1 Bath,"1,806 sqft",Year Built: 1928,Garage,"$295,000",Indianapolis
Exclusives 2976 Plan in Parks at Glen Ridge by Pyatt Builders,4 Beds,3 Baths,"2,976 sqft",Year Built: 2023,Garage,"$412,000+",Indianapolis
242 N  Beville Ave,4 Beds,2 Baths,"3,012 sqft",Year Built: 1900,None,"$189,400",Indianapolis
1229 N  Beville Ave,2 Beds,1 Bath,913 sqft,Year Built: 1910,Garage,"$205,000",Indianapolis
5517 Foxtail Ct,3 Beds,2 Baths,"1,642 sqft",Year Built: 1993,2 Car Garage,"$254,900",Indianapolis
707 N  Dequincy St,3 Beds,2 Baths,"2,172 sqft",Year Built: 1923,Garage,"$200,000",Indianapolis
4510 Fairhope Dr,3 Beds,3 Baths,"2,401 sqft",Year Built: 1994,3 Car Garage,"$439,000",Indianapolis
1531 Cruft St,4 Beds,2 Baths,"1,228 sqft",Year Built: 1910,No Info,"$99,000",Indianapolis
2937 W  10th St,5 Beds,5 Baths,,Year Built: 1913,No Info,"$259,990",Indianapolis
7338 Five Points Rd,,,,,No Info,"$595,000",Indianapolis
9004 W  County Line Rd,3 Beds,3 Baths,"2,477 sqft (on 0.71 acres)",Year Built: 2023,3 Car Garage,"$399,000",Indianapolis
3455 Kansas St,2 Beds,1 Bath,828 sqft,Year Built: 1951,Garage,"$115,000",Indianapolis
247 Church St,3 Beds,1 Bath,"2,408 sqft (on 0.25 acres)",Year Built: 1937,Garage,"$215,000",Indianapolis
8955 Pleasant Garden Ln,4 Beds,3 Baths,"3,225 sqft (on 0.42 acres)",Year Built: 2023,3 Car Garage,"$429,000",Indianapolis
1717 S  Lynhurst Dr,2 Beds,2 Baths,"1,888 sqft",Year Built: 1949,No Info,"$174,900",Indianapolis
7244 Birch Leaf Dr,4 Beds,4 Baths,"4,540 sqft",Year Built: 2019,2 Car Garage,"$599,900",Indianapolis
12162 Pearl Bay Rdg,6 Beds,6 Baths,"7,127 sqft (on 0.70 acres)",Year Built: 1991,3 Car Garage,"$1,790,000",Indianapolis
58 N  Kealing Ave,,,,,No Info,"$7,000",Indianapolis
1909 S  Delaware St,3 Beds,1 Bath,"2,240 sqft",Year Built: 1910,No Info,"$75,000",Indianapolis
8181 Lincoln Blvd,4 Beds,3 Baths,"4,952 sqft (on 0.56 acres)",Year Built: 1964,2 Car Garage,"$689,000",Indianapolis
1474 N  Leland Ave,3 Beds,3 Baths,"2,212 sqft",Year Built: 1949,Garage,"$209,900",Indianapolis
6024 N  Meridian St,3 Beds,2 Baths,"2,474 sqft",Year Built: 1949,Garage,"$340,000",Indianapolis
912 Woodlawn Ave,3 Beds,4 Baths,"2,886 sqft",Year Built: 2018,2 Car Garage,"$549,900",Indianapolis
6120 Easy Ln,3 Beds,3 Baths,"3,027 sqft (on 0.43 acres)",Year Built: 2004,3 Car Garage,"$425,000",Indianapolis
1614 E  Ohio St,4 Beds,4 Baths,"2,570 sqft",Year Built: 2023,2 Car Garage,"$699,999",Indianapolis
7442 Quincy Ct,2 Beds,2 Baths,"1,418 sqft",Year Built: 1986,1 Car Garage,"$235,000",Indianapolis
3125 Clearview Dr,3 Beds,2 Baths,"1,494 sqft (on 0.55 acres)",Year Built: 1959,2 Car Garage,"$325,000",Indianapolis
7305 Sayers Rd,5 Beds,4 Baths,"3,054 sqft",Year Built: 2023,3 Car Garage,"$409,995",Indianapolis
7249 Sayers Rd,5 Beds,3 Baths,"2,736 sqft",Year Built: 2023,3 Car Garage,"$399,000",Indianapolis
1003 Holmdale Dr,5 Beds,3 Baths,"2,460 sqft",Year Built: 2023,3 Car Garage,"$339,995",Indianapolis
Holcombe Plan in Fields at New Bethel by D.R. Horton - Indianapolis,4 Beds,3 Baths,"2,356 sqft",Year Built: 2023,No Info,"$355,000+",Indianapolis
410 Iowa St,2 Beds,2 Baths,900 sqft,Year Built: 1912,No Info,"$190,000",Indianapolis
438 N  Emerson Ave,4 Beds,2 Baths,"3,088 sqft",Year Built: 1925,Garage,"$237,000",Indianapolis
920 Broadway St   #C,2 Beds,2 Baths,"1,012 sqft",Year Built: 1920,Garage,"$249,900",Indianapolis
8455 Sand Point Way,2 Beds,3 Baths,"2,748 sqft",Year Built: 1983,2 Car Garage,"$370,000",Indianapolis
2204 Ruth Dr,3 Beds,1 Bath,875 sqft (on 0.29 acres),Year Built: 1953,Garage,"$229,000",Indianapolis
Cooper Plan in Trails at Grassy Creek by Arbor Homes,4 Beds,3 Baths,"2,801 sqft",Year Built: 2023,No Info,"$315,995+",Indianapolis
1901 Orange St,2 Beds,2 Baths,"1,772 sqft",Year Built: 1920,Garage,"$280,000",Indianapolis
5422 Guilford Ave,4 Beds,4 Baths,"3,690 sqft",Year Built: 2015,4 Car Garage,"$799,900",Indianapolis
5526 Yeager Ct,4 Beds,2 Baths,"2,040 sqft",Year Built: 1974,2 Car Garage,"$186,500",Indianapolis
8195 N  Michigan Rd,4 Beds,3 Baths,"3,888 sqft (on 5.51 acres)",Year Built: 1957,Garage,"$1,200,000",Indianapolis
3841 E  31st St,3 Beds,1 Bath,"1,278 sqft",Year Built: 1923,Garage,"$85,000",Indianapolis
536 N  Belmont Ave,3 Beds,1 Bath,"1,128 sqft",Year Built: 1910,No Info,"$79,900",Indianapolis
7048 Milano Dr,5 Beds,4 Baths,"5,419 sqft (on 0.29 acres)",Year Built: 2013,3 Car Garage,"$730,000",Indianapolis
302 N  Arsenal Ave,6 Beds,4 Baths,,Year Built: 1900,No Info,"$515,000",Indianapolis
8355 Central Ave,3 Beds,2 Baths,"1,493 sqft (on 0.50 acres)",Year Built: 1955,2 Car Garage,"$399,000",Indianapolis
Denali Plan in Edgewood Farms by D.R. Horton - Indianapolis,4 Beds,3 Baths,"3,432 sqft",Year Built: 2023,No Info,"$500,000+",Indianapolis
8036 E  13th St,3 Beds,2 Baths,"1,475 sqft (on 0.28 acres)",Year Built: 1966,2 Car Garage,"$225,000",Indianapolis
2018 N  Olney St,3 Beds,2 Baths,"1,400 sqft",Year Built: 2020,No Info,"$210,000",Indianapolis
8132 S  Meridian St,3 Beds,2 Baths,"1,326 sqft (on 0.39 acres)",Year Built: 1962,2 Car Garage,"$279,900",Indianapolis
3711 Whistlewood Ln,3 Beds,2 Baths,"1,222 sqft",Year Built: 2003,2 Car Garage,"$224,500",Indianapolis
12058 Country Side Dr,3 Beds,2 Baths,"1,801 sqft",Year Built: 2020,3 Car Garage,"$286,900",Indianapolis
Legacy 3040 Plan in Highlands at Grassy Creek by Pyatt Builders,5 Beds,3 Baths,"3,040 sqft",Year Built: 2023,Garage,"$328,000+",Indianapolis
1056 Hosbrook St,3 Beds,3 Baths,"2,044 sqft",Year Built: 1910,Garage,"$525,000",Indianapolis
3237 Central Ave,4 Beds,4 Baths,,Year Built: 1910,No Info,"$297,000",Indianapolis
2614 N  Belmar Ave,3 Beds,1 Bath,"1,620 sqft",Year Built: 1959,1 Car Garage,"$165,000",Indianapolis
322 N  Elder Ave,3 Beds,1 Bath,"1,032 sqft",Year Built: 1962,No Info,"$150,000",Indianapolis
338 N  Hamilton Ave,7 Beds,4 Baths,,Year Built: 1898,No Info,"$315,000",Indianapolis
5260 Woodside Dr,3 Beds,2 Baths,"3,807 sqft (on 0.32 acres)",Year Built: 1949,2 Car Garage,"$362,000",Indianapolis
Address Not Disclosed,5 Beds,2 Baths,"1,196 sqft (on 1.23 acres)",Year Built: 1959,4 Car Garage,"$260,000",Indianapolis
10629 Pine Valley Path,3 Beds,2 Baths,"2,254 sqft",Year Built: 2004,2 Car Garage,"$285,000",Indianapolis
36 N  Kenyon St,3 Beds,2 Baths,"2,470 sqft",Year Built: 1926,Garage,"$310,000",Indianapolis
331 Central State Blvd,3 Beds,3 Baths,"1,757 sqft",Year Built: 2023,Garage,"$348,805",Indianapolis
5821 N  Washington Blvd,4 Beds,3 Baths,"3,896 sqft",Year Built: 1930,Garage,"$795,000",Indianapolis
8324 Lake Tree Ln,4 Beds,3 Baths,"1,850 sqft",Year Built: 2001,2 Car Garage,"$275,000",Indianapolis
5210 Triple Crown Way,3 Beds,3 Baths,"2,317 sqft",Year Built: 2023,2 Car Garage,"$369,000",Indianapolis
7449 Pawtucket Ct,4 Beds,2 Baths,"1,523 sqft (on 0.41 acres)",Year Built: 1973,2 Car Garage,"$359,900",Indianapolis
719 E  New York St,3 Beds,3 Baths,"3,200 sqft",Year Built: 2014,2 Car Garage,"$1,275,000",Indianapolis
838 E  Thompson Rd,2 Beds,2 Baths,"2,340 sqft",Year Built: 1981,1 Car Garage,"$235,000",Indianapolis
719 Carlyle Pl,2 Beds,1 Bath,"1,635 sqft",Year Built: 1922,Garage,"$170,000",Indianapolis
19 N  Sheridan Ave,4 Beds,2 Baths,"3,174 sqft",Year Built: 1920,No Info,"$175,000",Indianapolis
3364 N  Park Ave,4 Beds,3 Baths,"2,550 sqft",Year Built: 1928,Open Parking,"$419,900",Indianapolis
4707 Guilford Ave,4 Beds,2 Baths,"1,792 sqft",Year Built: 1925,No Info,"$150,000",Indianapolis
6607 E  43rd Pl,3 Beds,1 Bath,900 sqft,Year Built: 1958,1 Car Garage,"$172,500",Indianapolis
T1600 Plan in The Overlook at Central State by M/I Homes,2 Beds,3 Baths,"1,734 sqft",Year Built: 2023,No Info,"$294,990+",Indianapolis
8161 Shores Edge Way,2 Beds,2 Baths,"1,576 sqft",Year Built: 2005,2 Car Garage,"$198,000",Indianapolis
7910 Frye Rd,3 Beds,3 Baths,"3,565 sqft (on 1.55 acres)",Year Built: 1997,3 Car Garage,"$525,000",Indianapolis
7134 Woodside Dr,4 Beds,3 Baths,"1,891 sqft (on 0.46 acres)",Year Built: 1960,2 Car Garage,"$245,000",Indianapolis
1646 Arley Dr,3 Beds,2 Baths,"1,986 sqft (on 0.26 acres)",Year Built: 1972,2 Car Garage,"$229,000",Indianapolis
2915 Wolfgang Dr,3 Beds,3 Baths,"1,848 sqft",Year Built: 2005,2 Car Garage,"$224,900",Indianapolis
6040 Paperbark Way,3 Beds,2 Baths,"1,969 sqft",Year Built: 2023,2 Car Garage,"$399,000",Indianapolis
901 W  Roache St,4 Beds,2 Baths,"2,196 sqft",Year Built: 1910,No Info,"$225,000",Indianapolis
10823 Green Meadow Pl,4 Beds,3 Baths,"2,544 sqft",Year Built: 2004,2 Car Garage,"$279,900",Indianapolis
3418 Carnation Ct,4 Beds,4 Baths,"3,164 sqft",Year Built: 1994,2 Car Garage,"$324,900",Indianapolis
4437 Ralston Ave,3 Beds,2 Baths,"1,020 sqft",Year Built: 1949,No Info,"$197,500",Indianapolis
8101 Spring Mill Rd,3 Beds,4 Baths,"4,394 sqft (on 1.44 acres)",Year Built: 1961,2 Car Garage,"$870,000",Indianapolis
1108 N  Ridgeview Dr,4 Beds,2 Baths,"1,348 sqft (on 0.35 acres)",Year Built: 1963,1 Car Garage,"$259,900",Indianapolis
5630 Susan Dr E,3 Beds,2 Baths,"1,648 sqft (on 0.59 acres)",Year Built: 1958,2 Car Garage,"$344,995",Indianapolis
1826 Tallman Ave,2 Beds,2 Baths,896 sqft,Year Built: 1910,No Info,"$85,000",Indianapolis
7317 Harcourt Rd,3 Beds,2 Baths,"1,493 sqft (on 0.46 acres)",Year Built: 1959,2 Car Garage,"$249,900",Indianapolis
5404 Allero Dr,3 Beds,3 Baths,"1,950 sqft",Year Built: 2002,2 Car Garage,"$215,000",Indianapolis
3601 Miesha Dr,5 Beds,3 Baths,"3,248 sqft",Year Built: 2016,3 Car Garage,"$365,000",Indianapolis
1845 Tallman Ave,Studio,,"1,672 sqft",Year Built: 1914,No Info,"$75,000",Indianapolis
714 Buchanan St #17,2 Beds,2 Baths,"1,643 sqft",Year Built: 1873,Garage,"$300,000",Indianapolis
6595 Madison Ave,3 Beds,3 Baths,"3,965 sqft (on 0.61 acres)",Year Built: 1930,Garage,"$365,000",Indianapolis
5204 E  10th St,2 Beds,2 Baths,"2,480 sqft",Year Built: 1928,Garage,"$217,000",Indianapolis
8523 Bison Woods Ct,3 Beds,3 Baths,"1,524 sqft",Year Built: 1998,2 Car Garage,"$207,000",Indianapolis
4714 Eagles Watch Ln,3 Beds,2 Baths,"1,473 sqft",Year Built: 1993,2 Car Garage,"$269,900",Indianapolis
8210 E  Hanna Ave,4 Beds,3 Baths,"2,170 sqft (on 0.57 acres)",Year Built: 1924,Garage,"$140,000",Indianapolis
8908 Trumpeter Dr,3 Beds,2 Baths,"1,540 sqft",Year Built: 2001,2 Car Garage,"$279,900",Indianapolis
6346 Brookdale Dr,4 Beds,2 Baths,"1,462 sqft (on 0.38 acres)",Year Built: 1958,Garage,"$259,900",Indianapolis
1624 N  Delaware St #B,3 Beds,2 Baths,"1,525 sqft",Year Built: 2005,Garage,"$290,000",Indianapolis
6336 Sagewood Ct,4 Beds,4 Baths,"2,870 sqft (on 0.26 acres)",Year Built: 1996,2 Car Garage,"$333,000",Indianapolis
505 N  Park Ave,2 Beds,3 Baths,"1,904 sqft",Year Built: 2007,1 Car Garage,"$408,900",Indianapolis
Address Not Disclosed,3 Beds,3 Baths,,Year Built: 1916,Open Parking,"$175,000",Indianapolis
Kingston Plan in Glenwood by Lennar,5 Beds,3 Baths,"2,736 sqft",Year Built: 2023,No Info,"$365,995+",Indianapolis
1730 S  State Ave,2 Beds,1 Bath,704 sqft,Year Built: 1950,Garage,"$159,900",Indianapolis
1442 N  New Jersey St,3 Beds,3 Baths,"2,885 sqft",Year Built: 1905,Garage,"$405,000",Indianapolis
Norway Plan in Trails at Grassy Creek by Arbor Homes,4 Beds,3 Baths,"2,971 sqft",Year Built: 2023,No Info,"$318,995+",Indianapolis
5345 Hawks Point Rd,4 Beds,3 Baths,"2,775 sqft",Year Built: 1977,2 Car Garage,"$349,000",Indianapolis
3251 Capsella Ln,4 Beds,2 Baths,"1,714 sqft",Year Built: 2001,2 Car Garage,"$232,000",Indianapolis
Holcombe Plan in Trotters Landing by D.R. Horton - Indianapolis,4 Beds,3 Baths,"2,356 sqft",Year Built: 2023,No Info,"$361,370+",Indianapolis
5664 Brownstone Dr   #5,2 Beds,3 Baths,"1,991 sqft",Year Built: 2006,2 Car Garage,"$232,700",Indianapolis
5125 Ford St,2 Beds,1 Bath,950 sqft,Year Built: 1953,No Info,"$195,000",Indianapolis
2618 Winthrop Ave,4 Beds,3 Baths,"2,187 sqft",Year Built: 2022,Garage,"$500,000",Indianapolis
5780 E  19th St,2 Beds,2 Baths,"1,198 sqft (on 0.37 acres)",Year Built: 1956,1 Car Garage,"$95,000",Indianapolis
3506 Winchester Dr,3 Beds,2 Baths,"1,960 sqft",Year Built: 1978,1 Car Garage,"$175,000",Indianapolis
Heyden Plan in Edgewood Farms by D.R. Horton - Indianapolis,3 Beds,2 Baths,"1,822 sqft",Year Built: 2023,No Info,"$345,000+",Indianapolis
17 N  Traub Ave,3 Beds,2 Baths,"1,354 sqft",Year Built: 2022,Garage,"$224,999",Indianapolis
10302 E  Rouark Ln,4 Beds,3 Baths,"2,480 sqft (on 0.32 acres)",Year Built: 1972,2 Car Garage,"$270,000",Indianapolis
615 N  Denny St,3 Beds,2 Baths,"1,302 sqft",Year Built: 1922,Garage,"$190,000",Indianapolis
6506 Oakview Dr N,3 Beds,2 Baths,"2,094 sqft (on 0.35 acres)",Year Built: 1960,2 Car Garage,"$228,000",Indianapolis
Clayton Wakarusa - 5628-560 Plan in Highland Farms by Cohron's Manufactured Homes,3 Beds,2 Baths,"1,568 sqft",Year Built: 2023,No Info,"$130,000+",Indianapolis
2518 Highland Pl,2 Beds,1 Bath,"1,576 sqft",Year Built: 1920,Garage,"$139,000",Indianapolis
3644 W  69th St,3 Beds,3 Baths,"1,874 sqft (on 1.72 acres)",Year Built: 1960,2 Car Garage,"$320,000",Indianapolis
4238 Foxglove Trce,2 Beds,2 Baths,"1,202 sqft",Year Built: 1974,Carport,"$129,999",Indianapolis
947 Elm St,3 Beds,4 Baths,"3,310 sqft",Year Built: 2019,1 Car Garage,"$575,000",Indianapolis
8633 Douglaston Ct,3 Beds,3 Baths,"1,608 sqft",Year Built: 1994,2 Car Garage,"$239,900",Indianapolis
8033 Little River Ln,4 Beds,3 Baths,"2,157 sqft",Year Built: 2007,2 Car Garage,"$297,000",Indianapolis
3432 Otisco Ln,3 Beds,3 Baths,"1,660 sqft",Year Built: 2006,2 Car Garage,"$270,000",Indianapolis
Exclusives 3649 Plan in Parks at Glen Ridge by Pyatt Builders,4 Beds,3 Baths,"3,649 sqft",Year Built: 2023,Garage,"$430,000+",Indianapolis
2948 Guilford Ave,4 Beds,4 Baths,"3,533 sqft",Year Built: 1916,Open Parking,"$399,000",Indianapolis
7528 Chestnut Hills Dr,5 Beds,4 Baths,"3,572 sqft (on 0.59 acres)",Year Built: 1993,3 Car Garage,"$449,995",Indianapolis
1287 Constitution Dr,4 Beds,3 Baths,"2,444 sqft",Year Built: 2001,2 Car Garage,"$310,000",Indianapolis
Tannin Plan in The Townes at Kennedy-King by Onyx+East,3 Beds,4 Baths,"1,430 sqft",Year Built: 2023,Garage,"$369,900+",Indianapolis
2814 Stuart St,2 Beds,1 Bath,810 sqft,Year Built: 1910,None,"$75,000",Indianapolis
2302 Prospect St,4 Beds,6 Baths,"3,200 sqft",Year Built: 2023,Garage,"$699,000",Indianapolis
350 N  Meridian St #704,2 Beds,2 Baths,"1,499 sqft",Year Built: 2005,1 Car Garage,"$369,500",Indianapolis
635 Marion Ave,3 Beds,1 Bath,"1,200 sqft",Year Built: 2010,No Info,"$150,000",Indianapolis
2554 S  Wayward Wind Dr,4 Beds,3 Baths,"3,366 sqft (on 0.46 acres)",Year Built: 1989,2 Car Garage,"$427,500",Indianapolis
3713 N  Wittfield St,4 Beds,1 Bath,"1,199 sqft",Year Built: 1961,No Info,"$156,000",Indianapolis
3758 Broadway St,4 Beds,2 Baths,"2,542 sqft",Year Built: 1906,Open Parking,"$460,000",Indianapolis
4756 Stratford Ave,2 Beds,1 Bath,"2,198 sqft (on 0.26 acres)",Year Built: 1944,Garage,"$199,900",Indianapolis
3723 N  Lombardy Pl,4 Beds,1 Bath,925 sqft,Year Built: 1960,No Info,"$156,000",Indianapolis
3616 Paddington Cir,3 Beds,2 Baths,"1,616 sqft (on 0.37 acres)",Year Built: 1988,2 Car Garage,"$284,900",Indianapolis
8915 William Penn Cir,6 Beds,5 Baths,"5,854 sqft (on 0.80 acres)",Year Built: 1994,3 Car Garage,"$915,000",Indianapolis
6421 E  13th St,2 Beds,1 Bath,"1,777 sqft (on 1 acre)",Year Built: 1955,2 Car Garage,"$199,900",Indianapolis
8743 Potters Cove Ct,5 Beds,4 Baths,"5,173 sqft (on 1 acre)",Year Built: 2012,3 Car Garage,"$974,900",Indianapolis
2211 Station St,3 Beds,1 Bath,"1,423 sqft",Year Built: 1900,None,"$100,000",Indianapolis
2018 Hoyt Ave,2 Beds,2 Baths,916 sqft,Year Built: 1910,Garage,"$250,000",Indianapolis
1030 N  Sheffield Ave,2 Beds,1 Bath,778 sqft,Year Built: 1920,No Info,"$115,000",Indianapolis
1630 E  18th St,2 Beds,1 Bath,"1,192 sqft",Year Built: 1910,No Info,"$100,000",Indianapolis
7227 Glenwick Blvd,4 Beds,3 Baths,"2,169 sqft",Year Built: 2001,2 Car Garage,"$315,000",Indianapolis
Chatham Plan in Fields at New Bethel by D.R. Horton - Indianapolis,4 Beds,2 Baths,"1,771 sqft",Year Built: 2023,No Info,"$354,900+",Indianapolis
3301 N  Arsenal Ave,2 Beds,1 Bath,"1,728 sqft",Year Built: 1926,2 Car Garage,"$90,000",Indianapolis
417 N  Goodlet Ave,3 Beds,3 Baths,"2,036 sqft",Year Built: 1920,No Info,"$220,000",Indianapolis
7818 Ashtree Dr,4 Beds,3 Baths,"3,482 sqft (on 0.41 acres)",Year Built: 1996,2 Car Garage,"$499,000",Indianapolis
6327 Black Oaks Way,4 Beds,3 Baths,"2,575 sqft",Year Built: 2001,2 Car Garage,"$299,999",Indianapolis
Hampshire Plan in Glenwood by Lennar,5 Beds,3 Baths,"2,422 sqft",Year Built: 2023,No Info,"$356,995+",Indianapolis
Cambridge Plan in Fulton by Onyx+East,3 Beds,3 Baths,"2,689 sqft",Year Built: 2023,Garage,"$779,500+",Indianapolis
4716 N  Longworth Ave,2 Beds,1 Bath,936 sqft,Year Built: 1914,No Info,"$165,000",Indianapolis
4020 Waterfield Dr,3 Beds,2 Baths,"1,970 sqft",Year Built: 2001,2 Car Garage,"$261,495",Indianapolis
4312 White Coat Dr,5 Beds,4 Baths,"3,054 sqft",Year Built: 2019,3 Car Garage,"$399,000",Indianapolis
T1500 Plan in The Overlook at Central State by M/I Homes,2 Beds,3 Baths,"1,518 sqft",Year Built: 2023,No Info,"$276,990+",Indianapolis
6406 Nightshade Dr,3 Beds,3 Baths,"2,035 sqft",Year Built: 2002,2 Car Garage,"$285,000",Indianapolis
7542 Higdon Ct,3 Beds,2 Baths,"2,042 sqft (on 0.48 acres)",Year Built: 1984,2 Car Garage,"$185,000",Indianapolis
4155 Waterthrush Dr,4 Beds,3 Baths,"2,543 sqft",Year Built: 1996,2 Car Garage,"$314,900",Indianapolis
7210 N  Carroll Rd,3 Beds,2 Baths,"1,470 sqft (on 0.47 acres)",Year Built: 1994,2 Car Garage,"$267,900",Indianapolis
